Plan Or Actual,Region,STP,ISP_Site,Activity_Type_1,Activity_Type_2,Activity_Type_3,POD,Specialty_(TFC),Diagnostic_Modality,How_will_this_activity_be_delivered?,Please_provide_details_of_your_plan_for_service_delivery ,Further_Detail,NHS_Referring_Trust,Week Commencing Date,Activity Count,Postcode,Lat,Lon,Week Index
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,6,IG9 5HX,51.62451,0.03201,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Complex,Elective,103: Breast surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,8,IG9 5HX,51.62451,0.03201,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,20,IG9 5HX,51.62451,0.03201,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Cancer,Combination,Diagnostics,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,10,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,20,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Cancer,Complex,Diagnostics,301: Gastroenterology,ENDOSCOPY - UPPER GI,Service will be staffed by NHS medical staff,,Unsure if Upper/Lower GI/Bronch.,BARTS HEALTH NHS TRUST,17/08/2020,8,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,6,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Combination,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,4,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,4,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,,Spinal,BARTS HEALTH NHS TRUST,17/08/2020,4,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,2,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Routine,Elective,361: Nephrology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,4,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Combination,Diagnostics,101: Urology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Urology Diagnostics,BARTS HEALTH NHS TRUST,17/08/2020,20,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Electrophysiology,BARTS HEALTH NHS TRUST,17/08/2020,5,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,Intervention,BARTS HEALTH NHS TRUST,17/08/2020,5,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Complex,Diagnostics,812: Diagnostic imaging,ULTRASOUND,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,80,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Complex,Diagnostics,812: Diagnostic imaging,COMPUTERISED TOMOGRAPHY (CT),Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,80,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Urgent,Cancer,Complex,Diagnostics,104: Colorectal surgery,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Colorectal Scope,BARTS HEALTH NHS TRUST,17/08/2020,8,W1G 6BW,51.52302,-0.15008,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Urgent,Cancer,Complex,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,1,W1G 6BW,51.52302,-0.15008,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Urgent,Cancer,Complex,Elective,303: Clinical haematology,,Service will be staffed by NHS medical staff,,Haem Oncology,BARTS HEALTH NHS TRUST,17/08/2020,2,W1G 6BW,51.52302,-0.15008,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The London Clinic (The London Clinic),Urgent,Non-Cancer,Routine,Elective,811: Interventional radiology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,2,W1G 6BW,51.52302,-0.15008,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Urgent,Cancer,Combination,Elective,160: Plastic surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,3,NW8 9LE,51.53155,-0.17147,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Urgent,Non-Cancer,Complex,Elective,320: Cardiology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Electrophysiology,BARTS HEALTH NHS TRUST,17/08/2020,6,NW8 9LE,51.53155,-0.17147,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Urgent,Cancer,Complex,Elective,103: Breast surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,8,NW8 9LE,51.53155,-0.17147,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Urgent,Non-Cancer,Complex,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,Intervention,BARTS HEALTH NHS TRUST,17/08/2020,6,NW8 9LE,51.53155,-0.17147,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),Urgent,Cancer,Complex,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Sentinel Node,BARTS HEALTH NHS TRUST,17/08/2020,2,NW8 9LE,51.53155,-0.17147,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Weymouth Street Hospital (Phoenix Hospital Group),Urgent,Non-Cancer,Combination,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,Fertility,BARTS HEALTH NHS TRUST,17/08/2020,2,W1G 6NP,51.52022,-0.15069,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Weymouth Street Hospital (Phoenix Hospital Group),Urgent,Non-Cancer,Routine,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,Fertility,BARTS HEALTH NHS TRUST,17/08/2020,2,W1G 6NP,51.52022,-0.15069,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Weymouth Street Hospital (Phoenix Hospital Group),Urgent,Non-Cancer,Routine,Elective,160: Plastic surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,17/08/2020,19,W1G 6NP,51.52022,-0.15069,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,100: General surgery,,Surgeon will be NHS all other staff independent sector,,These lists may be swapped between general surgery and bariatrics as we go forwards,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17/08/2020,2,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,502: Gynaecology,,Surgeon will be NHS all other staff independent sector,,,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,100: General surgery/Bariatrics,,Surgeon will be NHS all other staff independent sector,,These lists may be swapped between general surgery and bariatrics as we go forwards,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17/08/2020,5,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,301: Gastroenterology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Endoscopy will be NHS all other staff independent sector,,Mixture of upper and lower GI endoscopy and we cant currently confirm which list will be which and some will be mixed. Homerton would look to book 12 patients but the London Independent has given a limit of 4 per session initially. Weeks in yellow we are still awaiting internal cover agreement,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17/08/2020,8,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be wholly staffed by independent sector staff,,Cardiac Holter and BP monitor,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17/08/2020,15,E1 4NL,51.52037,-0.0467,2
Plan,London,East_London_Health_and_Care_Partnership_STP,North East London Teatment Centre (Care UK Clinical Services Limited),Urgent,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Occupies 2 of the 4 available ISTC teahtres,,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",17/08/2020,30,IG3 8YY,51.58054,0.11211,2
Plan,London,East_London_Health_and_Care_Partnership_STP,North East London Teatment Centre (Care UK Clinical Services Limited),Urgent,Non-Cancer,Routine,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,4 all day lists at ISTC,,,17/08/2020,16,IG3 8YY,51.58054,0.11211,2
Plan,London,East_London_Health_and_Care_Partnership_STP,North East London Teatment Centre (Care UK Clinical Services Limited),Urgent,Non-Cancer,Routine,Elective,150: Neurosurgery,,Service will be staffed by NHS medical staff,,,,17/08/2020,3,IG3 8YY,51.58054,0.11211,2
Plan,London,East_London_Health_and_Care_Partnership_STP,North East London Teatment Centre (Care UK Clinical Services Limited),Urgent,Non-Cancer,Routine,Daycase,130: Ophthalmology,,Service will be staffed by NHS medical staff,,,,17/08/2020,30,IG3 8YY,51.58054,0.11211,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,103: Breast surgery,,Service will be staffed by NHS medical staff,4 all day lists ,,,17/08/2020,16,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,101: Urology,,Service will be staffed by NHS medical staff,"5 all day template biopsy lists, incl 1 Sat (theatres)",,,17/08/2020,30,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,101: Urology,,Service will be staffed by NHS medical staff,3 all day cystoscopy lists (endoscopy suite),,,17/08/2020,40,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,144: Maxillo-facial surgery,,Service will be staffed by NHS medical staff,Will be shared with dermatology on ad hoc basis,,,17/08/2020,8,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,503: Gynaecological oncology,,Service will be staffed by NHS medical staff,To be confirmed whether required beyond start Aug,,,17/08/2020,10,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Cancer,Complex,Daycase,150: Neurosurgery,,Service will be staffed by NHS medical staff,To be confirmed whether required beyond start Aug,,,17/08/2020,2,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Unknown,Routine,Diagnostics,812: Diagnostic imaging,COMPUTERISED TOMOGRAPHY (CT),,,,,17/08/2020,12,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,Spire Hartswood,Urgent,Unknown,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),,,,,17/08/2020,12,CM13 3LE,51.60044,0.29312,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,120: Ent,,Service will be staffed by NHS medical staff,,,,17/08/2020,16,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Daycase,101: Urology,,Service will be staffed by NHS medical staff,,,,17/08/2020,6,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Routine,Non-Cancer,Routine,Daycase,191: Pain management,,,,,,17/08/2020,8,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Unknown,Routine,Diagnostics,812: Diagnostic imaging,COMPUTERISED TOMOGRAPHY (CT),,,,,17/08/2020,12,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Unknown,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),,,,,17/08/2020,12,IG4 5PZ,51.58715,0.04306,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Wellington Hospital (HCA UK),urgent,Cancer,Complex,Elective,160: Plastic surgery,,Service will be staffed by NHS medical staff,,Breast Cancer,BARTS HEALTH NHS TRUST,17/08/2020,0,NW8 9LE,51.53155,-0.17147,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Elective,171: Paediatric surgery,,,,PAEDS ODN,,17/08/2020,10,W1W 5AH,51.52292,-0.14437,2
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Elective,171: Paediatric surgery,,,,PAEDS ODN,,17/08/2020,7,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Elective,171: Paediatric surgery,,,,PAEDS ODN,,17/08/2020,6,W1W 5AH,51.52292,-0.14437,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Elective,171: Paediatric surgery,,,,PAEDS ODN,,17/08/2020,4,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",,,UNKNOWN - SUBMITTED BY PAEDS ODN,,17/08/2020,4,W1W 5AH,51.52292,-0.14437,2
Plan,London,South_West_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",,,UNKNOWN - SUBMITTED BY PAEDS ODN,,17/08/2020,3,W1W 5AH,51.52292,-0.14437,2
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",,,UNKNOWN - SUBMITTED BY PAEDS ODN,,17/08/2020,3,W1W 5AH,51.52292,-0.14437,2
Plan,London,East_London_Health_and_Care_Partnership_STP,The Portland (HCA UK),Routine,Non-Cancer,Complex,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",,,UNKNOWN - SUBMITTED BY PAEDS ODN,,17/08/2020,3,W1W 5AH,51.52292,-0.14437,2
Plan,London,Our_Healthier_South_East_London_STP,West Valley (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,104: Colorectal surgery,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,8,CR0 2RD,51.37855,-0.10203,2
Plan,London,Our_Healthier_South_East_London_STP,West Valley (Ramsay Health UK),Routine,Non-Cancer,Routine,Daycase,130: Ophthalmology,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,12,CR0 2RD,51.37855,-0.10203,2
Plan,London,Our_Healthier_South_East_London_STP,Fortius Clinic (Fortius Clinic),Routine,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,Service will be wholly staffed by independent sector staff,King's providing orthopaedic surgeons until the end of August ,,,17/08/2020,6,EC4N 7BE,51.51161,-0.08718,2
Plan,London,Our_Healthier_South_East_London_STP,Chelsfield (BMI Healthcare),Routine,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,12,BR6 7RG,51.3584,0.13081,2
Plan,London,Our_Healthier_South_East_London_STP,Chelsfield (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,BR6 7RG,51.3584,0.13081,2
Plan,London,Our_Healthier_South_East_London_STP,Chelsfield (BMI Healthcare),Routine,Non-Cancer,Routine,Daycase,100: General surgery,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,8,BR6 7RG,51.3584,0.13081,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Daycase,120: Ent,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,4,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,120: Ent,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,3,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Daycase,100: General surgery,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,0,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,100: General surgery,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,0,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Urgent,Non-Cancer,Routine,Daycase,502: Gynaecology,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,7,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,0,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Urgent,Non-Cancer,Routine,Elective,101: Urology,,,,,LEWISHAM AND GREENWICH NHS TRUST,17/08/2020,3,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Daycase,100: General surgery,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,502: Gynaecology,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,3,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,Blackheath (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,10,SE3 9LF,51.46533,0.00717,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Urgent,Cancer,Complex,Elective,150: Neurosurgery,,Service will be staffed by NHS medical staff,Includes non -cancer activity,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,9,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Elective,150: Neurosurgery,,Service will be wholly staffed by independent sector staff,"Neurosurgeon to be provided by King's, Anaesthetist via HCA",,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Urgent,Non-Cancer,Routine,Elective,361: Nephrology,,Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,2,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Urgent,Non-Cancer,Routine,Daycase,361: Nephrology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,2,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,2,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Routine,Elective,502: Gynaecology,,Service will be wholly staffed by independent sector staff,Could include a mix of day cases,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,0,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Routine,Elective,100: General surgery,,Service will be wholly staffed by independent sector staff,Could include a mix of day cases,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,0,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Elective,100: General surgery,,Service will be wholly staffed by independent sector staff,"Surgeon to be provided by King's, Anaesthetist via HCA",,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST / KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,2,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Daycase,100: General surgery,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST / KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,3,W1G 8BJ,51.52036,-0.14819,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Non-Cancer,Complex,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST / KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,10,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Complex,Elective,302: Endocrinology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST / KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,3,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Complex,Elective,120: Ent,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,5,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Complex,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,1,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,503: Gynaecological oncology,,Service will be staffed by NHS medical staff,Maybe some day cases,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,9,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,120: Ent,,Service will be staffed by NHS medical staff,Head & Neck surgery,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,8,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Urgent,Cancer,Complex,Elective,105: Hepatobiliary & pancreatic surgery,,Service will be staffed by NHS medical staff,,,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17/08/2020,0,SE1 2PR,51.50631,-0.08591,2
Plan,London,Our_Healthier_South_East_London_STP,London Bridge (HCA UK),Routine,Non-Cancer,Complex,Daycase,811: Interventional radiology,,Service will be staffed by NHS medical staff,,,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17/08/2020,6,SE1 2PR,51.50631,-0.08591,2
