Inner or Outer,Plan or Actuals,Activity Type,Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week Commencing Date,Activity Count
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),North West London STP,,Elective,,,Non-Cancer,09/08/2020,6
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,235
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,The Lister (HCA UK),North West London STP,,Elective,,,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,33
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,09/08/2020,10
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,102
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,67
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,71
Outer,Actuals,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,09/08/2020,23
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,25
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Hospital of St John & St Elizabeth (Hospital of St John & St Elizabeth),North West London STP,,Elective,,,Non-Cancer,09/08/2020,6
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,KING EDWARD VII'S HOSPITAL SISTER AGNES (KING EDWARD VII'S HOSPITAL SISTER AGNES HQ),North West London STP,,Elective,,,Non-Cancer,09/08/2020,18
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,32
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,6
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,09/08/2020,13
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,09/08/2020,32
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,09/08/2020,1
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,09/08/2020,12
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,14
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,09/08/2020,5
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,15
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Cancer,09/08/2020,4
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,3
Outer,Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,12
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,09/08/2020,12
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,34
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,09/08/2020,1
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,15
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,4
Outer,Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,7
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,8
Outer,Actuals,Normal,Fortius Clinic (Fortius Clinic),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,4
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,10
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,1
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,09/08/2020,2
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,09/08/2020,89
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,10
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Non-Cancer,09/08/2020,37
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,10
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,32
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Elective,,,Cancer,09/08/2020,44
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Daycase,,,Cancer,09/08/2020,12
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Cancer,09/08/2020,1
Outer,Actuals,Normal,London Bridge (HCA UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Cancer,09/08/2020,50
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Elective,,,Non-Cancer,09/08/2020,18
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,9
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,2
Outer,Actuals,Normal,The Harley Street Clinic (HCA UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,27
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,15
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Daycase,,,Non-Cancer,09/08/2020,9
Outer,Actuals,Normal,West Valley (Ramsay Health UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,2
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,10
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,09/08/2020,14
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,20
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Outpatients,,,Non-Cancer,09/08/2020,5
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,09/08/2020,4
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Daycase,,,Non-Cancer,09/08/2020,33
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Cancer,09/08/2020,4
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,16
Outer,Actuals,Normal,Ashtead (Ramsay Health UK),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,27
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,25
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,09/08/2020,2
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Daycase,,,Non-Cancer,09/08/2020,26
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,4
Outer,Actuals,Normal,Parkside (Aspen Healthcare),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,13
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,26
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,09/08/2020,9
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Cancer,09/08/2020,0
Outer,Actuals,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,26
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,09/08/2020,18
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,09/08/2020,3
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,09/08/2020,0
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,09/08/2020,6
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Outpatients,,,Non-Cancer,09/08/2020,2
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,09/08/2020,9
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Daycase,,,Non-Cancer,09/08/2020,14
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Cancer,09/08/2020,17
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,15
Outer,Actuals,Normal,St Anthony's (Spire Healthcare),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,25
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,09/08/2020,16
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Outpatients,,,Non-Cancer,09/08/2020,124
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Daycase,,,Non-Cancer,09/08/2020,49
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Cancer,09/08/2020,19
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,09/08/2020,3
Outer,Actuals,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,09/08/2020,26
Outer,Plan,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,32
Outer,Plan,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,21
Outer,Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,16/08/2020,57
Outer,Plan,Normal,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,16/08/2020,73
Outer,Plan,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,16/08/2020,31
Outer,Plan,Normal,Weymouth Street Hospital (Phoenix Hospital Group),East London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,53
Outer,Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,65
Outer,Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,40
Outer,Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,15
Outer,Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,40
Outer,Plan,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,22
Outer,Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,12
Outer,Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,16/08/2020,40
Outer,Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,12
Outer,Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,16/08/2020,40.30769231
Outer,Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,33.61538462
Outer,Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,24
Outer,Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,52
Outer,Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Non-Cancer,16/08/2020,60
Outer,Plan,C&B,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,35.07692308
Outer,Plan,C&B,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,52.38461538
Outer,Plan,C&B,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,16/08/2020,40
Outer,Plan,C&B,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,16/08/2020,17.84615385
Outer,Plan,C&B,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,16/08/2020,75
Outer,Plan,C&B,Weymouth Street Hospital (Phoenix Hospital Group),East London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,45
Outer,Plan,C&B,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,23.76923077
Outer,Plan,C&B,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,14.21538462
Outer,Plan,C&B,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,25
Outer,Plan,C&B,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,12
Outer,Plan,C&B,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,16/08/2020,23
Outer,Plan,C&B,Sloane (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,23
Outer,Plan,C&B,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,16
Outer,Plan,C&B,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Plan,C&B,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Non-Cancer,16/08/2020,0
Outer,Capacity,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,54.35963077
Outer,Capacity,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,16/08/2020,60
Outer,Capacity,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,16/08/2020,120
Outer,Capacity,Normal,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,16/08/2020,74.56443077
Outer,Capacity,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,16/08/2020,112
Outer,Capacity,Normal,Weymouth Street Hospital (Phoenix Hospital Group),East London STP,,Elective,,,Non-Cancer,16/08/2020,29.76
Outer,Capacity,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,40
Outer,Capacity,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,135
Outer,Capacity,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,16/08/2020,31.96
Outer,Capacity,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,25
Outer,Capacity,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Non-Cancer,16/08/2020,48
Outer,Capacity,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Non-Cancer,16/08/2020,15.36
Outer,Capacity,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,50
Outer,Capacity,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,18.5
Outer,Capacity,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,16/08/2020,48
Outer,Capacity,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Non-Cancer,16/08/2020,36
Outer,Capacity,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Non-Cancer,16/08/2020,45
Outer,Capacity,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,96
Outer,Capacity,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,39.96
Outer,Capacity,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Non-Cancer,16/08/2020,78.75692308
Outer,Capacity,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Non-Cancer,16/08/2020,68.352
Outer,Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,8
Outer,Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,8
Outer,Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,8
Outer,Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,20
Outer,Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,55
Outer,Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,0
Outer,Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,57.69230769
Outer,Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,16
Outer,Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,16
Outer,Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,Non-Cancer,16/08/2020,30
