Plan or Actuals,Activity Type,Independent Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week  Commencing Date,Activity Count,Plan Type
Plan,Normal,Holly House (Holly House),East London STP,,Elective,,,National Plan (Unknown),30/08/2020, 56 ,Original Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,X-RAY,X-RAY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,National Plan (Unknown),30/08/2020, 8 ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Outpatients,,,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Daycase,,,National Plan (Unknown),30/08/2020, 10 ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Elective,,,National Plan (Unknown),30/08/2020, 30 ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,X-RAY,X-RAY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,National Plan (Unknown),30/08/2020, 8 ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Outpatients,,,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Daycase,,,National Plan (Unknown),30/08/2020, 25 ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,National Plan (Unknown),30/08/2020, 8 ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),National Plan (Unknown),30/08/2020, 80 ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,National Plan (Unknown),30/08/2020, 80 ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,X-RAY,X-RAY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,National Plan (Unknown),30/08/2020, 8 ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Outpatients,,,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Daycase,,,National Plan (Unknown),30/08/2020, 50 ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,National Plan (Unknown),30/08/2020, 15 ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,X-RAY,X-RAY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,National Plan (Unknown),30/08/2020, 21 ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Outpatients,,,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Daycase,,,National Plan (Unknown),30/08/2020, 89 ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Elective,,,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),National Plan (Unknown),30/08/2020, 12 ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),National Plan (Unknown),30/08/2020, 12 ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,X-RAY,X-RAY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,ENDOSCOPY,ENDOSCOPY,National Plan (Unknown),30/08/2020, -   ,Original Plan
Actuals,Normal,Holly House (Holly House),East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, 14 ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,06/09/2020, 16 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 23 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Non-Cancer,06/09/2020, 26 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 36 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, 4 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, 7 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,06/09/2020, 12 ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, 15 ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,06/09/2020, 52 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 15 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 30 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Elective,,,Cancer,06/09/2020, 57 ,Actuals
Actuals,Normal,Weymouth Street Hospital (Phoenix Hospital Group),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 3 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 4 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Outpatients,,,Non-Cancer,06/09/2020, 49 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,06/09/2020, 6 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 4 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, 1 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, 6 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 3 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, 3 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Outpatients,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,06/09/2020, 14 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 2 ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 15 ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 10 ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Outpatients,,,Non-Cancer,06/09/2020, 26 ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Elective,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Daycase,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Highgate Private (Aspen Healthcare),North London STP,"To support Whittington from 21/9/2020, UCLH  from 18/9/2020, RHOH from 28/9/2020 with elective surgical activity ",Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Outpatients,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,06/09/2020, 14 ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Kings Oak (BMI Healthcare),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 6 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, 2 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Outpatients,,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Non-Cancer,06/09/2020, 2 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Daycase,,,Non-Cancer,06/09/2020, 4 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, 1 ,Actuals
Actuals,Normal,Schoen Clinic London (Schoen Clinic UK),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 2 ,Actuals
Actuals,Normal,The Portland (HCA UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 2 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/09/2020, 6 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/09/2020, 13 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/09/2020, 9 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/09/2020, 8 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Elective,,,Non-Cancer,06/09/2020, 3 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Daycase,,,Non-Cancer,06/09/2020, 19 ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Elective,,,Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/09/2020, -   ,Actuals
Actuals,Normal,Blackheath (BMI Healthcare),South East London STP,36 diagnostic DNAs,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/09/2020, 10 ,Actuals
Actuals,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/09/2020, 7 ,Actuals
